id,ingredient_name,ingredient_link,ingredient_image
17,2/3 part  Absolut Citron,/ingredient/574-Absolut-Citron,../images/ingredients/Absolut Citron-Medium.png
17,1/3 part  Pisang Ambon,/ingredient/399-Pisang-Ambon,../images/ingredients/Pisang Ambon-Medium.png
17,cubes Ice,/ingredient/270-Ice,../images/ingredients/Ice-Medium.png
17,Bitter lemon,/ingredient/55-Bitter-lemon,../images/ingredients/Bitter lemon-Medium.png
18,2/3  Absolut Citron,/ingredient/574-Absolut-Citron,../images/ingredients/Absolut Citron-Medium.png
18,1/3  Lime juice,/ingredient/308-Lime-juice,../images/ingredients/Lime juice-Medium.png
18,Fill with  Ice,/ingredient/270-Ice,../images/ingredients/Ice-Medium.png
18,Top it up with  Tonic water,/ingredient/497-Tonic-water,../images/ingredients/Tonic water-Medium.png
19,3/4 oz  Absolut Kurant,/ingredient/6-Absolut-Kurant,../images/ingredients/Absolut Kurant-Medium.png
19,3/4 oz  Midori melon liqueur,/ingredient/331-Midori-melon-liqueur,../images/ingredients/Midori melon liqueur-Medium.png
19,1 oz  Cranberry juice,/ingredient/155-Cranberry-juice,../images/ingredients/Cranberry juice-Medium.png
19,1 splash  Sprite,/ingredient/466-Sprite,../images/ingredients/Sprite-Medium.png
20,1 1/2 oz  Absolut Vodka,/ingredient/8-Absolut-Vodka,../images/ingredients/Absolut Vodka-Medium.png
20,1/2 oz  Peach schnapps,/ingredient/379-Peach-schnapps,../images/ingredients/Peach schnapps-Medium.png
20,1/2 oz  Coconut liqueur,/ingredient/133-Coconut-liqueur,../images/ingredients/Coconut liqueur-Medium.png
20,1 1/2 oz  Cranberry juice,/ingredient/155-Cranberry-juice,../images/ingredients/Cranberry juice-Medium.png
20,1 1/2 oz  Pineapple juice,/ingredient/393-Pineapple-juice,../images/ingredients/Pineapple juice-Medium.png
21,1 1/2 oz  Absolut Citron,/ingredient/574-Absolut-Citron,../images/ingredients/Absolut Citron-Medium.png
21,3/4 oz  Sweet and sour,/ingredient/480-Sweet-and-sour,../images/ingredients/Sweet and sour-Medium.png
21,1/2 oz  Sprite,/ingredient/466-Sprite,../images/ingredients/Sprite-Medium.png
21,3 oz  Soda water,/ingredient/455-Soda-water,../images/ingredients/Soda water-Medium.png
21,1 slice  Lemon,/ingredient/299-Lemon,../images/ingredients/Lemon-Medium.png
22,2 oz  Absolut Vodka,/ingredient/8-Absolut-Vodka,../images/ingredients/Absolut Vodka-Medium.png
22,4 oz  Cranberry juice,/ingredient/155-Cranberry-juice,../images/ingredients/Cranberry juice-Medium.png
22,2 oz  Ginger ale,/ingredient/228-Ginger-ale,../images/ingredients/Ginger ale-Medium.png
22,Add  Ice,/ingredient/270-Ice,../images/ingredients/Ice-Medium.png
23,1 shot  Vodka,/ingredient/1-Vodka,../images/ingredients/Vodka-Medium.png
23,2 shots  Cranberry Juice,/ingredient/155-Cranberry-Juice,../images/ingredients/Cranberry Juice-Medium.png
23,Top up with Champagne,/ingredient/97-Champagne,../images/ingredients/Champagne-Medium.png
24,1 shot  Absolut Citron,/ingredient/574-Absolut-Citron,../images/ingredients/Absolut Citron-Medium.png
24,1 shot  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
24,1 shot  Triple sec,/ingredient/498-Triple-sec,../images/ingredients/Triple sec-Medium.png
24,Fill to top  Ginger ale,/ingredient/228-Ginger-ale,../images/ingredients/Ginger ale-Medium.png
25,1 1/2 oz  Light rum,/ingredient/305-Light-rum,../images/ingredients/Light rum-Medium.png
25,1 1/2 tsp  Triple sec,/ingredient/498-Triple-sec,../images/ingredients/Triple sec-Medium.png
25,1 tblsp  Lime juice,/ingredient/308-Lime-juice,../images/ingredients/Lime juice-Medium.png
25,1 tsp  Sugar,/ingredient/476-Sugar,../images/ingredients/Sugar-Medium.png
25,1  Egg white,/ingredient/192-Egg-white,../images/ingredients/Egg white-Medium.png
25,1  Mint,/ingredient/337-Mint,../images/ingredients/Mint-Medium.png
26,2 shots  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
26,1/2 shot  Grenadine,/ingredient/250-Grenadine,../images/ingredients/Grenadine-Medium.png
26,1/2 shot  Heavy cream,/ingredient/259-Heavy-cream,../images/ingredients/Heavy cream-Medium.png
26,1/2 shot Milk,/ingredient/333-Milk,../images/ingredients/Milk-Medium.png
26,1/2 Fresh Egg White,/ingredient/192-Egg-White,../images/ingredients/Egg White-Medium.png
27,1 oz Bacardi  151 proof rum,/ingredient/571-151-proof-rum,../images/ingredients/151 proof rum-Medium.png
27,1 oz  Wild Turkey,/ingredient/526-Wild-Turkey,../images/ingredients/Wild Turkey-Medium.png
28,2 oz  Dark rum,/ingredient/179-Dark-rum,../images/ingredients/Dark rum-Medium.png
28,1 oz  Lemon juice,/ingredient/293-Lemon-juice,../images/ingredients/Lemon juice-Medium.png
28,1 tsp  Grenadine,/ingredient/250-Grenadine,../images/ingredients/Grenadine-Medium.png
29,1 shot  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
29,1 shot  Cognac,/ingredient/141-Cognac,../images/ingredients/Cognac-Medium.png
29,1 shot  Creme de Cassis,/ingredient/165-Creme-de-Cassis,../images/ingredients/Creme de Cassis-Medium.png
29,1/8 shot  Fresh Lemon Juice,/ingredient/217-Fresh-Lemon-Juice,../images/ingredients/Fresh Lemon Juice-Medium.png
30,1 part  Rum,/ingredient/3-Rum,../images/ingredients/Rum-Medium.png
30,1 part  Vodka,/ingredient/1-Vodka,../images/ingredients/Vodka-Medium.png
30,1 part  Tequila,/ingredient/4-Tequila,../images/ingredients/Tequila-Medium.png
30,1/2 part  Triple sec,/ingredient/498-Triple-sec,../images/ingredients/Triple sec-Medium.png
30,Fruit,/ingredient/222-Fruit,../images/ingredients/Fruit-Medium.png
30,Ice,/ingredient/270-Ice,../images/ingredients/Ice-Medium.png
30,1-3 pint  Salt,/ingredient/439-Salt,../images/ingredients/Salt-Medium.png
30,Fruit juice,/ingredient/220-Fruit-juice,../images/ingredients/Fruit juice-Medium.png
31,1/2  Vodka,/ingredient/1-Vodka,../images/ingredients/Vodka-Medium.png
31,1/2 can  Lemonade,/ingredient/300-Lemonade,../images/ingredients/Lemonade-Medium.png
31,1/2  Water,/ingredient/513-Water,../images/ingredients/Water-Medium.png
31,10 tsp  Sugar,/ingredient/476-Sugar,../images/ingredients/Sugar-Medium.png
32,2 shots  Sweet Vermouth,/ingredient/482-Sweet-Vermouth,../images/ingredients/Sweet Vermouth-Medium.png
32,1 shot  Dry Vermouth,/ingredient/189-Dry-Vermouth,../images/ingredients/Dry Vermouth-Medium.png
32,"Top up with
 Soda Water",/ingredient/455-Soda-Water,../images/ingredients/Soda Water-Medium.png
33,1 1/2 shot  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
33,1 1/2 shot  Vermouth,/ingredient/510-Vermouth,../images/ingredients/Vermouth-Medium.png
34,1 shot  Vodka,/ingredient/1-Vodka,../images/ingredients/Vodka-Medium.png
34,1 tblsp  Grenadine,/ingredient/250-Grenadine,../images/ingredients/Grenadine-Medium.png
34,Fill with  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
35,1 shot  Rum,/ingredient/3-Rum,../images/ingredients/Rum-Medium.png
35,1/2 shot  Dry Vermouth,/ingredient/189-Dry-Vermouth,../images/ingredients/Dry Vermouth-Medium.png
35,1/2 shot  Cognac,/ingredient/141-Cognac,../images/ingredients/Cognac-Medium.png
35,1/2 shot  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
35,1/4 shot Fresh Lime Juice,/ingredient/547-Fresh-Lime-Juice,../images/ingredients/Fresh Lime Juice-Medium.png
35,1/4 shot Sugar Syrup,/ingredient/475-Sugar-Syrup,../images/ingredients/Sugar Syrup-Medium.png
35,1/2 shot  Water,/ingredient/513-Water,../images/ingredients/Water-Medium.png
36,3/4 oz  Sweet Vermouth,/ingredient/482-Sweet-Vermouth,../images/ingredients/Sweet Vermouth-Medium.png
36,1 1/2 oz dry  Sherry,/ingredient/449-Sherry,../images/ingredients/Sherry-Medium.png
36,1 dash  Orange bitters,/ingredient/350-Orange-bitters,../images/ingredients/Orange bitters-Medium.png
